127.0.0.1 - - [09/Jul/2023:23:54:07 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Jul/2023:23:54:09 +0700] "GET /WebBanHang/ HTTP/1.1" 200 27055
0:0:0:0:0:0:0:1 - - [09/Jul/2023:23:54:09 +0700] "GET /WebBanHang/assets/user/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:23:54:09 +0700] "GET /WebBanHang/assets/user/font-awesome/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:23:54:09 +0700] "GET /WebBanHang/assets/user/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:23:54:09 +0700] "GET /WebBanHang/assets/user/js/jquery.easing-1.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:23:54:09 +0700] "GET /WebBanHang/assets/user/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:23:54:09 +0700] "GET /WebBanHang/assets/user/js/shop.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:23:54:09 +0700] "GET /WebBanHang/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Jul/2023:23:54:09 +0700] "GET /WebBanHang/assets/img/shopping-cart-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Jul/2023:23:54:09 +0700] "GET /WebBanHang/assets/img/paypal.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Jul/2023:23:54:09 +0700] "GET /WebBanHang/assets/img/bootstrap-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Jul/2023:23:54:09 +0700] "GET /WebBanHang/assets/user/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:23:54:09 +0700] "GET /WebBanHang/assets/user/img/slide/Picture4.jpg HTTP/1.1" 304 -
