127.0.0.1 - - [17/Jul/2023:08:17:52 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/ HTTP/1.1" 200 30042
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/style.css HTTP/1.1" 200 7801
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/font-awesome/css/font-awesome.css HTTP/1.1" 200 27232
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/css/bootstrap.css HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 200 10547
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/img/paypal.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/js/shop.js HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/img/shopping-cart-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/img/bootstrap-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/js/jquery.easing-1.3.min.js HTTP/1.1" 200 3436
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/js/bootstrap.min.js HTTP/1.1" 200 28631
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/img/slide/Picture4.jpg HTTP/1.1" 200 65712
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/img/slide/Picture3.jpg HTTP/1.1" 200 262695
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/img/h.jpg HTTP/1.1" 200 29856
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/img/c.jpg HTTP/1.1" 200 46325
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/img/slide/Picture5.jpg HTTP/1.1" 200 171420
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/img/slide/Picture6.jpg HTTP/1.1" 200 218934
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/img/g.jpg HTTP/1.1" 200 31481
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/img/b.jpg HTTP/1.1" 200 58795
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/assets/img/new.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/img/pp.png HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/img/mc.png HTTP/1.1" 200 2213
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/img/visa.png HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/img/maestro.png HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/img/disc.png HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/js/jquery.js HTTP/1.1" 200 94839
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:54 +0700] "GET /WebBanHang/assets/user/font-awesome/font/fontawesome-webfont.woff?v=3.2.1 HTTP/1.1" 200 43572
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:57 +0700] "GET /WebBanHang/san-pham/4 HTTP/1.1" 200 17886
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:57 +0700] "GET /WebBanHang/san-pham/assets/img/a.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:57 +0700] "GET /WebBanHang/san-pham/assets/img/b.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:57 +0700] "GET /WebBanHang/san-pham/assets/user/js/bootstrap.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:57 +0700] "GET /WebBanHang/san-pham/assets/user/js/jquery.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:57 +0700] "GET /WebBanHang/san-pham/assets/user/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:57 +0700] "GET /WebBanHang/san-pham/assets/img/e.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:57 +0700] "GET /WebBanHang/san-pham/assets/user/js/shop.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Jul/2023:08:17:57 +0700] "GET /WebBanHang/san-pham/assets/img/c.jpg HTTP/1.1" 404 682
