0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:02:26 +0700] "GET /WebBanHang/ HTTP/1.1" 200 29856
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:02:26 +0700] "GET /WebBanHang/assets/img/paypal.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:02:26 +0700] "GET /WebBanHang/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:02:26 +0700] "GET /WebBanHang/assets/img/bootstrap-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:02:26 +0700] "GET /WebBanHang/assets/img/shopping-cart-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:02:26 +0700] "GET /WebBanHang/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:02:26 +0700] "GET /WebBanHang/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:02:26 +0700] "GET /WebBanHang/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:02:26 +0700] "GET /WebBanHang/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:02:26 +0700] "GET /WebBanHang/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:02:26 +0700] "GET /WebBanHang/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:02:26 +0700] "GET /WebBanHang/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:02:26 +0700] "GET /WebBanHang/assets/user/assets/img/new.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:02:26 +0700] "GET /WebBanHang/assets/user/img/e.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:02:26 +0700] "GET /WebBanHang/assets/user/img/c.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:02:26 +0700] "GET /WebBanHang/assets/user/ico/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:02:28 +0700] "GET /WebBanHang/san-pham HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:02:30 +0700] "GET /WebBanHang/san-pham HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:02:34 +0700] "GET /WebBanHang/san-pham HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:03:17 +0700] "GET /WebBanHang/ HTTP/1.1" 200 29871
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:03:17 +0700] "GET /WebBanHang/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:03:17 +0700] "GET /WebBanHang/assets/img/paypal.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:03:17 +0700] "GET /WebBanHang/assets/img/bootstrap-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:03:17 +0700] "GET /WebBanHang/assets/img/shopping-cart-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:03:17 +0700] "GET /WebBanHang/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:03:17 +0700] "GET /WebBanHang/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:03:17 +0700] "GET /WebBanHang/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:03:17 +0700] "GET /WebBanHang/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:03:17 +0700] "GET /WebBanHang/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:03:17 +0700] "GET /WebBanHang/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:03:18 +0700] "GET /WebBanHang/ HTTP/1.1" 200 29857
